,Class,Role Stereotype,DsTotal,Imperative Abstraction,Multifaceted Abstraction,Unnecessary Abstraction,Unutilized Abstraction,Feature Envy,Deficient Encapsulation,Unexploited Encapsulation,Broken Modularization,Cyclically-dependent Modularization,Hub-like Modularization,Insufficient Modularization,Broken Hierarchy,Cyclic Hierarchy,Deep Hierarchy,Missing Hierarchy,Multipath Hierarchy,Rebellious Hierarchy,Wide Hierarchy,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,project
10,com.eteks.sweethome3d.HomeFramePane,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,com.eteks.sweethome3d.HomeFramePane,class,14,20,6,14,46,5,0,77,0,0.70329666,1.0,1.0,7,0,2,5,0,0,2,0,0,0,13,8,0,13,0,0,11,0,26,321,1,1,12,2,0,27,14,59,15,44,4,10,1,0,127,1,0,SweetHome3d-5.6
11,com.eteks.sweethome3d.HomeFramePane$LanguageChangeListener,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.HomeFramePane$LanguageChangeListener,innerclass,2,2,0,2,3,1,0,8,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,19,0,0,1,0,0,0,0,4,0,4,1,0,0,0,30,10,0,SweetHome3d-5.6
12,com.eteks.sweethome3d.MacOSXConfiguration,Interfacer,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,com.eteks.sweethome3d.MacOSXConfiguration,class,15,26,11,15,62,1,0,77,136,0.9411765,0.0,0.0,17,16,4,12,1,0,5,0,0,0,1,1,0,1,0,0,0,0,32,539,9,5,13,7,1,28,16,37,1,34,4,16,0,0,176,0,0,SweetHome3d-5.6
13,com.eteks.sweethome3d.SweetHome3D,Interfacer,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,com.eteks.sweethome3d.SweetHome3D,class,30,48,18,30,89,3,0,94,301,0.9378697,0.025,0.025,26,1,7,10,7,2,16,0,0,0,13,3,0,13,0,0,4,0,52,745,18,7,22,7,1,52,28,62,4,53,5,15,4,0,437,1,0,SweetHome3d-5.6
14,com.eteks.sweethome3d.SweetHome3D$FileContentManagerWithRecordedLastDirectories,Structurer,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,com.eteks.sweethome3d.SweetHome3D$FileContentManagerWithRecordedLastDirectories,innerclass,3,3,0,3,11,2,0,7,0,0.22222222,1.0,1.0,3,0,1,0,2,0,3,0,0,0,3,2,0,3,0,0,3,0,2,46,2,0,6,1,0,2,0,10,3,8,2,0,0,0,50,10,0,SweetHome3d-5.6
15,com.eteks.sweethome3d.SweetHome3D$StandaloneServiceManager,Service Provider,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.SweetHome3D$StandaloneServiceManager,innerclass,4,4,0,4,5,1,0,1,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,20,3,0,0,0,0,4,0,1,0,1,1,0,0,0,37,10,0,SweetHome3d-5.6
16,com.eteks.sweethome3d.SweetHome3D$StandaloneBasicService,Service Provider,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.SweetHome3D$StandaloneBasicService,innerclass,3,3,0,3,12,1,0,11,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,49,8,0,0,3,0,14,0,6,0,6,3,0,0,0,47,10,0,SweetHome3d-5.6
17,com.eteks.sweethome3d.SweetHome3DBootstrap,Controller,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.SweetHome3DBootstrap,class,2,3,1,2,21,1,0,25,0,0.0,,,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,55,0,0,1,0,1,115,10,12,11,12,3,0,0,0,97,1,0,SweetHome3d-5.6
18,com.eteks.sweethome3d.io.Base64,Service Provider,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.io.Base64,class,3,9,6,3,80,3,0,23,69,0.8928571,0.33333334,0.4,14,13,6,8,0,0,6,0,2,0,20,20,8,12,0,0,20,0,20,405,26,3,20,12,59,14,918,99,71,57,5,0,1,0,628,1,0,SweetHome3d-5.6
19,com.eteks.sweethome3d.io.ContentDigestManager,Controller,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,com.eteks.sweethome3d.io.ContentDigestManager,class,8,15,7,8,75,1,0,70,94,0.84375,0.1904762,0.2857143,16,1,6,9,0,1,7,0,0,4,6,3,0,6,0,0,2,0,16,351,30,12,15,7,5,21,22,81,7,67,6,0,1,0,131,1,0,SweetHome3d-5.6
20,com.eteks.sweethome3d.io.ContentRecording,Information Holder,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.io.ContentRecording,enum,0,3,3,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0,SweetHome3d-5.6
21,com.eteks.sweethome3d.io.DamagedHomeIOException,Information Holder,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.io.DamagedHomeIOException,class,2,4,2,2,3,4,0,0,0,0.5555556,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,3,1,0,3,0,0,1,0,0,16,2,0,0,0,0,0,1,3,0,3,0,0,0,0,38,1,0,SweetHome3d-5.6
22,com.eteks.sweethome3d.io.DefaultFurnitureCatalog,Structurer,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,com.eteks.sweethome3d.io.DefaultFurnitureCatalog,class,21,27,6,21,91,2,0,65,184,0.90999997,0.027777778,0.027777778,20,0,7,11,2,0,9,0,0,0,5,4,1,4,0,0,4,0,48,464,21,6,33,16,2,52,25,112,25,91,5,2,1,0,418,1,0,SweetHome3d-5.6
23,com.eteks.sweethome3d.io.DefaultFurnitureCatalog$PropertyKey,Information Holder,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.io.DefaultFurnitureCatalog$PropertyKey,enum,0,0,0,0,2,1,0,0,0,0.0,,,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,56,1,0,0,0,0,49,0,1,1,1,0,0,0,0,266,1,0,SweetHome3d-5.6
24,com.eteks.sweethome3d.io.DefaultHomeOutputStream,Service Provider,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,com.eteks.sweethome3d.io.DefaultHomeOutputStream,class,16,21,5,16,41,7,0,54,33,0.75,0.6,0.6,10,1,5,5,0,0,5,0,0,0,4,0,0,4,0,0,0,0,11,280,0,7,5,2,3,27,13,40,11,38,5,1,2,0,147,1,0,SweetHome3d-5.6
25,com.eteks.sweethome3d.io.DefaultHomeOutputStream$HomeContentObjectsTracker,Service Provider,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,com.eteks.sweethome3d.io.DefaultHomeOutputStream$HomeContentObjectsTracker,innerclass,8,8,0,8,21,3,0,18,1,0.5,0.33333334,0.33333334,3,0,2,0,1,0,3,0,0,0,2,0,0,2,0,0,0,0,2,66,3,1,3,1,2,3,3,16,3,12,6,0,0,0,68,2,0,SweetHome3d-5.6
26,com.eteks.sweethome3d.io.DefaultPatternTexture,Information Holder,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.io.DefaultPatternTexture,class,4,6,2,4,12,1,0,3,12,0.7037037,0.25,0.35714287,9,0,8,1,0,0,8,0,0,0,3,1,0,3,0,0,2,0,0,48,9,0,1,1,0,5,3,6,2,4,1,0,0,0,61,0,0,SweetHome3d-5.6
27,com.eteks.sweethome3d.io.DefaultTexturesCatalog,Structurer,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,com.eteks.sweethome3d.io.DefaultTexturesCatalog,class,16,22,6,16,47,2,0,47,99,0.8666667,0.027777778,0.027777778,15,0,7,6,2,0,9,0,0,0,4,3,1,3,0,0,3,0,17,223,8,4,12,9,2,8,5,41,3,34,4,2,1,0,189,1,0,SweetHome3d-5.6
28,com.eteks.sweethome3d.io.DefaultTexturesCatalog$PropertyKey,Information Holder,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.io.DefaultTexturesCatalog$PropertyKey,enum,0,0,0,0,2,1,0,0,0,0.0,,,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,16,1,0,0,0,0,9,0,1,1,1,0,0,0,0,87,1,0,SweetHome3d-5.6
29,com.eteks.sweethome3d.io.FileUserPreferences,Structurer,4,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,com.eteks.sweethome3d.io.FileUserPreferences,class,27,36,9,27,232,5,0,265,1087,0.9554552,0.08172043,0.2580645,54,0,20,24,10,0,31,0,0,0,74,65,1,73,0,0,68,0,35,1260,51,37,75,25,6,123,141,256,127,228,7,6,2,0,399,1,0,SweetHome3d-5.6
30,com.eteks.sweethome3d.io.FileUserPreferences$PreferencesURLContent,Service Provider,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,com.eteks.sweethome3d.io.FileUserPreferences$PreferencesURLContent,innerclass,1,1,0,1,1,2,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,SweetHome3d-5.6
31,com.eteks.sweethome3d.io.HomeURLContent,Service Provider,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,com.eteks.sweethome3d.io.HomeURLContent,class,1,5,4,1,1,2,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,SweetHome3d-5.6
32,com.eteks.sweethome3d.io.HomeXMLExporter,Service Provider,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,com.eteks.sweethome3d.io.HomeXMLExporter,class,24,41,17,24,58,3,0,81,296,0.92,0.008658009,0.008658009,25,1,1,3,20,1,22,0,0,0,3,0,0,3,0,0,0,0,7,613,11,13,14,0,1,24,5,9,5,9,2,15,1,0,136,1,0,SweetHome3d-5.6
33,com.eteks.sweethome3d.io.HomeXMLExporter$PieceOfFurnitureExporter,Service Provider,4,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,com.eteks.sweethome3d.io.HomeXMLExporter$PieceOfFurnitureExporter,innerclass,10,10,0,10,20,2,0,86,3,0.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,9,121,0,5,4,0,7,74,28,5,1,4,3,0,0,0,50,4,0,SweetHome3d-5.6
34,com.eteks.sweethome3d.io.HomeXMLHandler,Controller,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,com.eteks.sweethome3d.io.HomeXMLHandler,class,55,58,3,55,265,2,0,285,0,0.8993455,0.5151515,0.82251084,47,0,8,25,13,1,22,0,0,0,26,1,0,26,0,0,16,0,30,1008,38,8,104,24,5,428,27,166,9,151,7,0,1,0,391,1,0,SweetHome3d-5.6
35,com.eteks.sweethome3d.j3d.DAELoader,Service Provider,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.j3d.DAELoader,class,8,11,3,8,16,3,0,16,19,0.71428573,0.0,0.0,7,0,4,3,0,0,4,0,0,0,1,0,0,1,0,0,0,0,2,948,5,0,3,5,0,3,0,12,1,10,2,0,1,0,111,1,0,SweetHome3d-5.6
36,com.eteks.sweethome3d.j3d.DAELoader$DAEHandler,Controller,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,com.eteks.sweethome3d.j3d.DAELoader$DAEHandler,innerclass,37,37,0,37,262,2,0,109,68,0.8648094,0.5,1.0,17,0,5,12,0,0,5,0,0,0,57,0,0,57,0,0,26,0,12,868,8,19,44,5,12,198,126,231,42,159,5,5,0,0,253,2,0,SweetHome3d-5.6
37,com.eteks.sweethome3d.j3d.HomePieceOfFurniture3D,Service Provider,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,com.eteks.sweethome3d.j3d.HomePieceOfFurniture3D,class,50,58,8,50,161,3,0,158,391,0.9444445,0.16666667,0.16666667,30,0,3,27,0,0,4,0,0,0,6,5,0,6,0,0,6,0,13,702,13,14,64,3,42,0,61,141,47,120,8,2,2,0,267,1,0,SweetHome3d-5.6
38,com.eteks.sweethome3d.j3d.HomePieceOfFurniture3D$LightSelectionListener,Service Provider,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.j3d.HomePieceOfFurniture3D$LightSelectionListener,innerclass,4,4,0,4,3,1,0,4,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,16,0,0,1,0,0,0,0,3,0,3,1,0,0,0,29,10,0,SweetHome3d-5.6
39,com.eteks.sweethome3d.j3d.Label3D,Controller,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.j3d.Label3D,class,21,23,2,21,30,3,0,73,1,0.45833328,0.0,0.0,3,0,2,1,0,0,3,0,0,0,8,3,0,8,0,0,3,0,12,152,0,0,15,0,11,2,41,53,19,40,5,0,0,0,110,1,0,SweetHome3d-5.6
40,com.eteks.sweethome3d.j3d.Max3DSLoader,Controller,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,com.eteks.sweethome3d.j3d.Max3DSLoader,class,36,38,2,36,273,4,0,142,199,0.90151507,0.1,0.1,22,1,4,18,0,0,5,0,0,0,12,6,0,12,0,0,6,0,12,1225,22,33,62,12,11,18,116,242,31,162,7,1,7,0,566,1,0,SweetHome3d-5.6
41,com.eteks.sweethome3d.j3d.Max3DSLoader$ChunkID,Information Holder,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.j3d.Max3DSLoader$ChunkID,enum,1,1,0,1,4,1,0,1,0,0.0,,,2,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,13,2,1,1,0,0,0,217,1,0,1,2,0,0,0,251,2,0,SweetHome3d-5.6
42,com.eteks.sweethome3d.j3d.ModelManager,Controller,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,com.eteks.sweethome3d.j3d.ModelManager,class,74,101,27,74,312,1,0,231,1011,0.96428585,0.019762846,0.023715414,46,1,19,23,0,4,23,0,0,0,14,8,3,11,0,0,8,0,31,1325,36,50,81,11,60,23,309,390,178,279,8,3,2,0,497,1,0,SweetHome3d-5.6
43,com.eteks.sweethome3d.j3d.Object3DBranchFactory,Service Provider,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,com.eteks.sweethome3d.j3d.Object3DBranchFactory,class,11,16,5,11,5,1,2,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,5,0,0,0,0,0,0,0,0,0,1,0,0,0,39,1,0,SweetHome3d-5.6
44,com.eteks.sweethome3d.j3d.OBJLoader,Service Provider,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,com.eteks.sweethome3d.j3d.OBJLoader,class,30,32,2,30,178,4,0,110,103,0.848485,0.1,0.1,18,8,4,14,0,0,5,0,0,0,11,2,0,11,0,0,2,0,63,807,18,19,71,16,16,960,69,157,35,114,5,0,4,0,274,1,0,SweetHome3d-5.6
45,com.eteks.sweethome3d.j3d.OBJLoader$Line,Information Holder,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,com.eteks.sweethome3d.j3d.OBJLoader$Line,innerclass,1,1,0,1,1,2,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,SweetHome3d-5.6
46,com.eteks.sweethome3d.j3d.OBJLoader$Face,Information Holder,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,com.eteks.sweethome3d.j3d.OBJLoader$Face,innerclass,2,2,0,2,8,2,0,2,0,0.375,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,23,3,1,2,0,0,0,3,4,0,3,2,0,0,0,18,10,0,SweetHome3d-5.6
47,com.eteks.sweethome3d.j3d.OBJWriter,Service Provider,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,com.eteks.sweethome3d.j3d.OBJWriter,class,45,48,3,45,243,3,0,161,515,0.9309523,0.13235295,0.20588236,35,2,17,18,0,0,17,0,0,0,12,0,0,12,0,0,3,0,13,1053,11,44,69,7,184,279,165,267,127,189,10,0,1,0,348,1,0,SweetHome3d-5.6
48,com.eteks.sweethome3d.j3d.PhotoRenderer,Service Provider,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,com.eteks.sweethome3d.j3d.PhotoRenderer,class,78,83,5,78,252,3,0,213,218,0.88461536,0.23809524,0.47619048,24,0,6,18,0,0,7,0,0,0,13,0,0,13,0,0,8,0,63,1138,14,50,79,1,61,140,343,414,200,285,9,1,6,0,430,1,0,SweetHome3d-5.6
49,com.eteks.sweethome3d.j3d.PhotoRenderer$Quality,Information Holder,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.j3d.PhotoRenderer$Quality,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,SweetHome3d-5.6
50,com.eteks.sweethome3d.j3d.PhotoRenderer$PhotoObject3DFactory,Service Provider,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,com.eteks.sweethome3d.j3d.PhotoRenderer$PhotoObject3DFactory,innerclass,7,7,0,7,2,2,0,2,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,1,0,0,0,0,0,1,0,0,0,29,10,0,SweetHome3d-5.6
51,com.eteks.sweethome3d.j3d.PhotoRenderer$BufferedImageDisplay,Service Provider,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.j3d.PhotoRenderer$BufferedImageDisplay,innerclass,5,5,0,5,24,1,0,11,0,0.5,1.0,1.0,7,0,5,2,0,0,5,0,0,4,4,2,0,4,0,0,4,0,1,67,0,8,1,0,6,0,36,16,22,16,4,1,0,0,57,26,0,SweetHome3d-5.6
52,com.eteks.sweethome3d.j3d.PhotoRenderer$SphereLightWithNoRepresentation,Service Provider,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.j3d.PhotoRenderer$SphereLightWithNoRepresentation,innerclass,2,2,0,2,1,2,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,SweetHome3d-5.6
53,com.eteks.sweethome3d.j3d.Room3D,Service Provider,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.j3d.Room3D,class,25,28,3,25,169,3,0,129,82,0.7083333,0.33333334,0.33333334,16,0,3,13,0,0,3,0,0,0,3,2,0,3,0,0,3,0,27,480,9,35,67,0,29,1,139,191,46,130,9,2,0,0,192,1,0,SweetHome3d-5.6
54,com.eteks.sweethome3d.j3d.TextureManager$ComparableTextureAngleTuple,Information Holder,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.j3d.TextureManager$ComparableTextureAngleTuple,innerclass,2,2,0,2,3,1,0,1,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,18,10,0,SweetHome3d-5.6
55,com.eteks.sweethome3d.j3d.Wall3D,Service Provider,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,com.eteks.sweethome3d.j3d.Wall3D,class,36,41,5,36,230,3,0,185,184,0.86285716,0.33333334,0.33333334,25,0,3,22,0,0,3,0,0,0,7,6,0,7,0,0,5,0,45,1024,22,38,81,0,47,1,325,345,174,244,8,3,2,0,318,1,0,SweetHome3d-5.6
56,com.eteks.sweethome3d.model.AspectRatio,Information Holder,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,com.eteks.sweethome3d.model.AspectRatio,enum,0,9,9,0,2,1,0,0,0,0.0,,,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,0,8,1,3,1,0,0,0,0,43,1,0,SweetHome3d-5.6
